Iteration,Sample_name,Coverage,Difference
1,CIMCOG_43,38.1114499846324,38.1114499846324
2,Tr39477,54.6362626190983,16.5248126344659
3,Savannah,64.3839988651677,9.74773624606944
4,Kiziltan,70.6976854150413,6.31368654987357
5,Marombi,75.3930538808899,4.69536846584859
6,AMAL,78.7301699884152,3.33711610752535
7,Chinese.Spring.Ph1,81.2977279712509,2.56755798283572
8,Benyamin,83.1240986358371,1.82637066458616
9,Synthetic,84.8712674657777,1.74716882994059
10,EGA.Eagle.Rock,86.3311818805116,1.45991441473389
11,Boisseau,87.5558550251791,1.22467314466748
12,Merinda,88.4755420006147,0.919686975435582
13,K29,89.3893183913753,0.913776390760589
14,Preston,90.1884294394402,0.799111048064859
15,LongReach.Merlin,90.8362295198241,0.647800080383917
16,KRa,91.4592051445729,0.622975624748818
17,Golubica,92.0408066765965,0.581601532023555
18,Phare,92.5514811925195,0.510674515923043
19,Zulu,93.0113246802374,0.459843487717876
20,Buenno,93.3659597607395,0.354635080502121
21,Paragon2,93.7241411920467,0.358181431307187
22,Park,94.0421306475636,0.317989455516923
23,Ttd22,94.3719412724307,0.329810624867079
24,CD_105,94.6225500626522,0.250608790221492
25,Quality,94.8719767359387,0.249426673286536
26,X398_Israel,95.1072180060052,0.235241270066481
27,X7C12,95.3211811712415,0.213963165236308
28,Sardari,95.5091377639076,0.187956592666083
29,Synthetic.39,95.7053691751188,0.196231411211215
30,HC1361,95.8649549613448,0.159585786225989
31,MURAJ,96.0150838120907,0.150128850745915
32,X165_16.16,96.1593020781616,0.14421826607088
33,Mackellar,96.2881528240774,0.128850745915756
34,Gatsby,96.4323710901482,0.144218266070823
35,USG3209,96.556493368324,0.12412227817579
36,Xi19,96.6782514126297,0.121758044305722
37,CIMCOG_7,96.7893704045204,0.11111899189072
38,Avalon,96.891032460931,0.101662056410646
39,Watkins.1190713,96.9915124004067,0.100479939475662
40,Bezostaja,97.0801711705322,0.0886587701254911
41,X401_Brazil,97.1688299406577,0.0886587701255479
42,Tribute,97.2574887107833,0.0886587701255621
43,EGA.Bounty,97.3307799607537,0.0732912499704099
44,Yawa,97.4028890937892,0.072109133035454
45,IMAR,97.4643591744095,0.0614700806203388
46,Robigus,97.53765042438,0.0732912499704668
47,Azar2,97.5920278033903,0.0543773790102904
48,Mirleben,97.6523157670757,0.0602879636853686
49,Sunelg,97.710239496891,0.0579237298153288
50,Mansfield,97.7622526420313,0.0520131451403358
51,BAJ..1,97.8107194363666,0.0484667943353401
52,Hereward,97.869825283117,0.0591058467504268
53,X173_23.3,97.9206563113223,0.0508310282053088
54,Ephoros,97.9679409887226,0.0472846774002846
55,X167_16.23,98.0116793153179,0.0437383265952747
56,NONG.DA.NO141,98.0542355249781,0.0425562096602192
57,Antonius,98.0979738515734,0.0437383265953173
58,Tjilkuri,98.1417121781687,0.0437383265952604
59,X166_16.14,98.186632621699,0.0449204435302448
60,Cortez,98.2280067144242,0.041374092725178
61,Goodstreak,98.2622881055394,0.0342813911152007
62,BT.Schomburgk,98.3012979643946,0.0390098588552377
63,X398_Brazil,98.3355793555099,0.0342813911152433
64,Kukri,98.367496512755,0.0319171572451467
65,Saintly,98.4005957869352,0.0330992741802447
66,LongReach.Catalina,98.4289665933754,0.0283708064402219
67,Arina,98.4597016336856,0.0307350403101907
68,Cellule,98.4928009078658,0.0330992741802163
69,X12A5,98.521171714306,0.0283708064401935
70,Sogood,98.5566352223562,0.0354635080501851
71,Meering,98.5850060287964,0.0283708064401509
72,Kunduru,98.6169231860416,0.0319171572451609
73,CDC.Stanley,98.6441118755467,0.0271886895051239
74,PI.554099,98.6736647989219,0.0295529233752063
75,GK.SZOKE,98.7008534884271,0.0271886895051665
76,CIMCOG_32,98.7292242948673,0.0283708064401509
77,CM.82036NIL51,98.7540487505024,0.0248244556351125
78,Valodor,98.7788732061375,0.0248244556351409
79,Massey,98.8013334279027,0.0224602217651722
80,Pelsart,98.8249757666028,0.0236423387001281
81,AZIZ,98.848618105303,0.0236423387001707
82,Mace_JP,98.8698962101331,0.0212781048301025
83,Jandaroi,98.8899921980282,0.0200959878951181
84,Soor.Ghanum,98.9100881859234,0.0200959878951608
85,Trident,98.9290020568835,0.0189138709600769
86,Bologna,98.9479159278436,0.0189138709600769
87,X142_Brazil,98.9644655649337,0.0165496370900939
88,Shamrock,98.9845615528288,0.0200959878951039
89,Freeman,99.0011111899189,0.0165496370901081
